Day,ExpRep,PCN,log(transposon copy),log(plasmid copy),transposon copy,plasmid copy,T/P,Kan
9,4,CloDF,1.464276366247856,1.6122934226832262,29.141502664162005,41.00307789024121,0.7113238179743556,Kan
9,5,Chromosome,0.5893544029530836,0.0,3.8847675061848217,0.0,,Kan
9,5,pBR322,1.655138119418245,1.3657529069572922,45.25419169368819,23.2277481873142,1.94739084029849,Kan
9,5,CloDF,1.4005030834071326,1.5464528231099992,25.16869945088838,35.26535479876459,0.7148161550293864,Kan
10,1,Chromosome,0.9103572136714077,0.0,8.156232554586095,0.0,,Kan
10,1,pBR322,1.9760191636295394,1.5403192522360527,94.81082332220689,34.77894036160677,2.73468038361712,Kan
10,1,CloDF,1.6740236873763787,1.4966569630348348,47.35080041908748,31.45056861610306,1.504639428353685,Kan
10,2,Chromosome,0.7736764097471142,0.0,5.942612117823573,0.0,,Kan
10,2,pBR322,1.9636204620396003,1.5619788764540887,92.14804850176823,36.55963408763962,2.5214628314281775,Kan
10,2,CloDF,1.6117229783718816,1.7351848978806306,40.91441755428168,54.35156139009312,0.7527318411929297,Kan
10,3,Chromosome,0.9070620702088186,0.0,8.076054918164974,0.0,,Kan
10,3,pBR322,2.056304321279408,1.6737147203135174,114.51425409512149,47.54680720185535,2.413666921343878,Kan
10,3,CloDF,1.694907267715675,1.6599053375575805,49.57316126994598,45.747480254898136,1.085229749492399,Kan
10,4,Chromosome,0.808760641274448,0.0,6.46221206420068,0.0,,Kan
10,4,pBR322,1.9895758869031803,1.600823183555976,98.02045084652364,39.99527599685973,2.4483537289918154,Kan
10,4,CloDF,1.6789615069753558,1.7713890102125285,47.78171160331053,59.122499930885134,0.8089319758757846,Kan
10,5,Chromosome,0.8796394658543912,0.0,7.591751360935215,0.0,,Kan
10,5,pBR322,1.9622903544157604,1.572732371453676,91.93648510594512,37.65961965100694,2.455846976963001,Kan
10,5,CloDF,1.6323077740601322,1.6836686678661528,42.91077994884997,48.274112713487305,0.8889258976203115,Kan
11,1,Chromosome,0.45100968100688504,0.0,2.831943673135241,0.0,,Kan
11,1,pBR322,1.5449798763562888,1.306914291199108,35.3073210721666,20.400457993334445,1.7303403651972733,Kan
11,1,CloDF,1.2329164093338294,1.2329355364557861,17.116890256921625,17.120396027834126,1.000278795570421,Kan
11,2,Chromosome,0.38648093640500997,0.0,2.4469112456998503,0.0,,Kan
11,2,pBR322,1.5227208993781278,1.305261224176563,33.40912146993876,20.219728252181525,1.6504938359471755,Kan
11,2,CloDF,1.1822259850243126,1.5288180135994558,15.215312216857578,33.817968328050796,0.45031983563550115,Kan
11,3,Chromosome,0.431910263949089,0.0,2.70415383404366,0.0,,Kan
11,3,pBR322,1.6203358441763038,1.4189950400121105,41.91374178533482,26.330420420282437,1.5900470014337298,Kan
11,3,CloDF,1.1806055973964422,1.3220948940450032,15.167765084184744,21.008083437904038,0.7221845752226402,Kan
11,4,Chromosome,0.37433804235132,0.0,2.368891886847741,0.0,,Kan
11,4,pBR322,1.580052192582275,1.3681799826719372,38.13784200029001,23.38919647643993,1.6290204656391671,Kan
11,4,CloDF,1.1503209570744095,1.4132859403862994,14.13902608119652,25.9149730810814,0.5460910005284801,Kan
11,5,Chromosome,0.4357919356532804,0.0,2.728302771623557,0.0,,Kan
11,5,pBR322,1.5054039618018702,1.3045309586114058,32.09106814349665,20.200988406375686,1.5882885335244916,Kan
11,5,CloDF,1.1161608145991944,1.36220797922178,13.070457757725336,23.030005210515796,0.5676357931306034,Kan
12,1,Chromosome,0.6270175004939494,0.0,4.2481696893347936,0.0,,Kan
12,1,pBR322,1.5112393344981727,1.3151624931919808,32.477915721513824,20.663763153243792,1.5711550645705925,Kan
12,1,CloDF,1.3761939578578344,1.194349264838119,23.985065771780167,15.874367176802041,1.5212331276003834,Kan
12,2,Chromosome,0.5828987237728499,0.0,3.8321200740827113,0.0,,Kan
12,2,pBR322,1.4680035987088684,1.3038020806399826,29.44503723638344,20.165781640779635,1.46058032171604,Kan
12,2,CloDF,1.273489484476911,1.463479140104739,18.791906298456684,29.120004994425727,0.6457679972053041,Kan
12,3,Chromosome,0.6388204665546673,0.0,4.363892928302655,0.0,,Kan
12,3,pBR322,1.565123933471863,1.435562486402753,36.79333479867677,27.28862163428411,1.3477352383405445,Kan
