OD,GFP,Well,Replicate,Kan,Plasmid,Day,PCN,GFP/OD,log10(GFP/OD),tet,Selection
0.8288999795913696,4359,D10,3,0,CloDF13,12,100.0,3339.0991117456174,3.5236293100532903,10,False
1.125,5076,E10,4,0,CloDF13,12,100.0,3088.066816489585,3.4896866885933595,10,False
1.0714000463485718,4531,F10,5,0,CloDF13,12,100.0,2719.195802252292,3.434440481135141,10,False
1.055799961090088,3892,B11,1,0,pUC,12,200.0,2130.364485909798,3.328453913615844,10,False
1.0507999658584595,3769,C11,2,0,pUC,12,200.0,2018.9256354145248,3.3051203225474493,10,False
1.0901000499725342,3455,D11,3,0,pUC,12,200.0,1643.4039654082676,3.2157443305582887,10,False
1.0750000476837158,3555,E11,4,0,pUC,12,200.0,1764.3069429105626,3.2465741431631403,10,False
1.0556999444961548,3651,F11,5,0,pUC,12,200.0,1892.6816819754058,3.2770775788945485,10,False
0.9379000067710876,8925,B4,1,1,pBR322,13,60.0,8138.3310399007405,3.9105353515135954,10,True
0.9775999784469604,9585,C4,2,1,pBR322,13,60.0,8498.23756265682,3.9293288673405624,10,True
0.8550000190734863,7726,D4,3,1,pBR322,13,60.0,7493.79207916074,3.874701639101273,10,True
0.9506000280380249,8519,E4,4,1,pBR322,13,60.0,7578.043985094141,3.879557121713352,10,True
0.8300999999046326,7744,F4,5,1,pBR322,13,60.0,7753.233578552134,3.889482867981918,10,True
0.9354000091552734,11021,B5,1,1,CloDF13,13,100.0,10505.873031520934,4.021432147843157,10,True
0.8425999879837036,11580,C5,2,1,CloDF13,13,100.0,12420.671761502908,4.094145084924652,10,True
0.8281999826431274,10722,D5,3,1,CloDF13,13,100.0,11557.391889623577,4.062859839643365,10,True
0.8986999988555908,11482,E5,4,1,CloDF13,13,100.0,11493.467116338818,4.06045105761424,10,True
0.9610000252723694,12048,F5,5,1,CloDF13,13,100.0,11330.287887595186,4.054240944850651,10,True
0.8212000131607056,7460,B6,1,1,pUC,13,200.0,7477.491215752725,3.8737559115124682,10,True
0.8101000189781189,6420,C6,2,1,pUC,13,200.0,6232.370389232522,3.7946532555149344,10,True
0.8094000220298767,7254,D6,3,1,pUC,13,200.0,7324.130535220053,3.864756075965619,10,True
0.8220000267028809,7182,E6,4,1,pUC,13,200.0,7113.644855104651,3.8520921794724248,10,True
0.7854999899864197,7303,F6,5,1,pUC,13,200.0,7625.268918917326,3.8822551644702914,10,True
0.8737000226974487,10071,B9,1,0,pBR322,13,60.0,10143.234521590459,4.006176466918455,10,True
0.8136000037193298,8335,C9,2,0,pBR322,13,60.0,8684.367267094329,3.9387381817445757,10,True
0.8191999793052673,8957,D9,3,0,pBR322,13,60.0,9421.628126701447,3.9741259585618676,10,True
0.8970000147819519,13689,E9,4,0,pBR322,13,60.0,14096.083916273616,4.149098476501152,10,True
0.8694999814033508,9739,F9,5,0,pBR322,13,60.0,9793.720025669987,3.9909476846276193,10,True
0.9071000218391418,15603,B10,1,0,CloDF13,13,100.0,16142.790718590604,4.207978616440292,10,True
0.8169000148773193,15873,C10,2,0,CloDF13,13,100.0,18368.84153350345,4.26408176754851,10,True
0.8543999791145325,16095,D10,3,0,CloDF13,13,100.0,17794.563132066447,4.250287330262774,10,True
0.8381999731063843,16535,E10,4,0,CloDF13,13,100.0,18708.673906704156,4.272043005276003,10,True
0.7156000137329102,12503,F10,5,0,CloDF13,13,100.0,16129.950715096733,4.207633040408538,10,True
0.8587999939918518,13274,B11,1,0,pUC,13,200.0,14247.155370519058,4.153728160470077,10,True
0.7843000292778015,10996,C11,2,0,pUC,13,200.0,12609.315602718903,4.1006915149609595,10,True
0.840499997138977,13697,D11,3,0,pUC,13,200.0,15102.878650637524,4.17905973291804,10,True
0.8511999845504761,14461,E11,4,0,pUC,13,200.0,15846.857161182636,4.199943143342663,10,True
0.7161999940872192,9800,F11,5,0,pUC,13,200.0,12109.382052048997,4.083121981439281,10,True
0.8848999738693237,8750,B4,1,1,pBR322,14,60.0,8431.307739684571,3.925894941182388,10,True
0.7871999740600586,6858,C4,2,1,pBR322,14,60.0,6999.437283870826,3.8450631265381,10,True
0.9402999877929688,10031,D4,3,1,pBR322,14,60.0,9336.49196126334,3.9701837276166696,10,True
0.9128000140190125,9230,E4,4,1,pBR322,14,60.0,8712.112378591048,3.940123468800887,10,True
0.8508999943733215,9308,F4,5,1,pBR322,14,60.0,9474.412234733034,3.9765522770960646,10,True
0.9014000296592712,12172,B5,1,1,CloDF13,14,100.0,12247.459644780707,4.08804601713609,10,True
0.8626999855041504,13282,C5,2,1,CloDF13,14,100.0,14175.471301335854,4.151537507082885,10,True
0.8883000016212463,12967,D5,3,1,CloDF13,14,100.0,13375.277368305568,4.126302796919475,10,True
0.887499988079071,12364,E5,4,1,CloDF13,14,100.0,12675.45742742757,4.102963640953939,10,True
0.8458999991416931,11678,F5,5,1,CloDF13,14,100.0,12478.254396252922,4.096153835418614,10,True
0.8199999928474426,9484,B6,1,1,pUC,14,200.0,10076.265400488986,4.003299597933846,10,True
0.7476999759674072,7634,C6,2,1,pUC,14,200.0,8489.01749620799,3.9288574286813045,10,True
0.7469000220298767,7618,D6,3,1,pUC,14,200.0,8475.968900739594,3.9281893545675484,10,True
0.7846999764442444,8027,E6,4,1,pUC,14,200.0,8595.13717863913,3.9342528124309353,10,True
0.7649000287055969,8546,F6,5,1,pUC,14,200.0,9547.363385388697,3.9798834527069085,10,True
0.919700026512146,11162,B9,1,0,pBR322,14,60.0,10842.742339872693,4.035139137594449,10,True
0.9039999842643738,10772,C9,2,0,pBR322,14,60.0,10588.044600803387,4.024815762043931,10,True
0.9117000102996826,11037,D9,3,0,pBR322,14,60.0,10798.796046646463,4.033375338871753,10,True
0.9083999991416931,14647,E9,4,0,pBR322,14,60.0,15002.42143017356,4.176161360981782,10,True
0.8727999925613403,9698,F9,5,0,pBR322,14,60.0,9693.865365592184,3.9864969836778044,10,True
0.8999000191688538,16366,B10,1,0,CloDF13,14,100.0,17152.638301015297,4.2343309297110645,10,True
0.8551999926567078,17717,C10,2,0,CloDF13,14,100.0,19754.072354195418,4.295656640146885,10,True
0.8665000200271606,16433,D10,3,0,CloDF13,14,100.0,17927.934037217536,4.253530245617303,10,True
0.8174999952316284,17148,E10,4,0,CloDF13,14,100.0,19980.42157094648,4.300604647253541,10,True
0.7922999858856201,15384,F10,5,0,CloDF13,14,100.0,18302.359356523863,4.262507078226176,10,True
0.760200023651123,10520,B11,1,0,pUC,14,200.0,12355.018642443934,4.091843405044,10,True
0.8414000272750854,14118,C11,2,0,pUC,14,200.0,15597.43029903001,4.1930530535545705,10,True
0.817300021648407,13070,D11,3,0,pUC,14,200.0,14731.4982449528,4.168246918358329,10,True
0.758400022983551,10845,E11,4,0,pUC,14,200.0,12839.137414673774,4.108535847048163,10,True
0.785099983215332,12896,F11,5,0,pUC,14,200.0,15135.222660715257,4.179988814430924,10,True
1.0499999523162842,7790,B4,1,1,pBR322,15,60.0,5960.611934830892,3.7752908480419154,10,False
0.7547000050544739,5331,C4,2,1,pBR322,15,60.0,4980.648386546651,3.6972858833961944,10,False
1.0635000467300415,8828,D4,3,1,pBR322,15,60.0,6897.604197255868,3.838698269782097,10,False
0.991100013256073,7585,E4,4,1,pBR322,15,60.0,6114.4577493094475,3.786357948383798,10,False
1.0139000415802002,8146,F4,5,1,pBR322,15,60.0,6548.0497481633065,3.816111970262008,10,False
1.073099970817566,8770,B5,1,1,CloDF13,15,100.0,6777.183381124132,3.8310492372016003,10,False
1.0467000007629395,9704,C5,2,1,CloDF13,15,100.0,7884.431707738985,3.8967703958148934,10,False
0.9296000003814697,7989,D5,3,1,CloDF13,15,100.0,6992.860522248365,3.8446548660034336,10,False
0.9696999788284302,8885,E5,4,1,CloDF13,15,100.0,7656.122232115907,3.884008858456051,10,False
1.0078999996185303,8675,F5,5,1,CloDF13,15,100.0,7136.145382928277,3.853463689232466,10,False
1.0369999408721924,5862,B6,1,1,pUC,15,200.0,4101.585506268277,3.612951769772983,10,False
1.0223000049591064,5614,C6,2,1,pUC,15,200.0,3910.1884152880434,3.5921976846972496,10,False
0.949400007724762,4873,D6,3,1,pUC,15,200.0,3407.9442790924736,3.532492485308132,10,False
1.0017999410629272,5457,E6,4,1,pUC,15,200.0,3830.1641579319335,3.583217387899745,10,False
0.9291999936103821,5172,F6,5,1,pUC,15,200.0,3822.356443534482,3.582331183567271,10,False
1.152899980545044,9790,B9,1,0,pBR322,15,60.0,7208.3649569745785,3.8578367667040467,10,False
1.1023999452590942,9158,C9,2,0,pBR322,15,60.0,6955.751573668869,3.8423440626763607,10,False
0.8439000248908997,6742,D9,3,0,pBR322,15,60.0,6185.561682683675,3.7913791420596294,10,False
1.0671000480651855,12049,E9,4,0,pBR322,15,60.0,10014.236215645527,4.000617831315084,10,False
1.0140000581741333,8377,F9,5,0,pBR322,15,60.0,6784.927920876969,3.831545238328598,10,False
0.9333000183105469,9378,B10,1,0,CloDF13,15,100.0,8521.508823841104,3.9305164980358698,10,False
1.092900037765503,12792,C10,2,0,CloDF13,15,100.0,10475.211743182737,4.02016281044181,10,False
0.9758999943733215,10867,D10,3,0,CloDF13,15,100.0,9726.646180948881,3.9879631181520034,10,False
0.9585999846458435,11618,E10,4,0,CloDF13,15,100.0,10729.100968695091,4.030563332339416,10,False
0.996999979019165,10921,F10,5,0,CloDF13,15,100.0,9568.357586951612,3.9808373973234707,10,False
1.0098999738693237,8941,B11,1,0,pUC,15,200.0,7396.10892794683,3.8690032987091296,10,False
1.1080000400543213,10398,C11,2,0,pUC,15,200.0,8081.993661485966,3.9075185055000037,10,False
0.9711999893188477,8824,D11,3,0,pUC,15,200.0,7578.150303222974,3.8795632147174137,10,False
1.0006999969482422,9094,E11,4,0,pUC,15,200.0,7626.574388229199,3.8823295106471316,10,False
1.01419997215271,9911,F11,5,0,pUC,15,200.0,8360.716659300451,3.92224350564952,10,False
1.0191999673843384,7695,B4,1,1,pBR322,16,60.0,5908.319733579818,3.771463989478792,10,False
0.9429000020027161,7014,C4,2,1,pBR322,16,60.0,5653.080224400734,3.7522851486950968,10,False
0.9187999963760376,7588,D4,3,1,pBR322,16,60.0,6462.211520096467,3.8103811691733127,10,False
0.9955999851226807,7177,E4,4,1,pBR322,16,60.0,5511.7434746185845,3.7412889966081835,10,False
0.9293000102043152,7343,F4,5,1,pBR322,16,60.0,6110.010291898165,3.786041941782786,10,False
0.9315000176429749,7774,B5,1,1,CloDF13,16,100.0,6578.923601545697,3.818154843135325,10,False
1.0020999908447266,9201,C5,2,1,CloDF13,16,100.0,7580.430427128011,3.8796938661623077,10,False
1.0433000326156616,8783,D5,3,1,CloDF13,16,100.0,6851.777728278546,3.835803266005698,10,False
0.9185000061988831,8078,E5,4,1,CloDF13,16,100.0,7022.838083562839,3.846512655569097,10,False
0.8784000277519226,7389,F5,5,1,CloDF13,16,100.0,6536.339324260548,3.8153345898567803,10,False
0.9380000233650208,4439,B6,1,1,pUC,16,200.0,2813.217615009771,3.4492033280921404,10,False
